feature,importance
demand_rolling_mean_7,148440.56897860765
demand_rolling_mean_14,44268.97733819485
demand_rolling_max_7,7158.165376663208
dayofweek,5147.337270617485
demand_lag_14,4242.170291364193
demand_rolling_std_7,2748.780561506748
demand_lag_7,2437.826692521572
demand_lag_1,1832.5352697968483
demand_rolling_std_14,1651.940149307251
demand_rolling_min_7,1542.6455236673355
dayofyear,1322.463228881359
demand_lag_28,1281.4137503504753
day,1233.5755566358566
demand_rolling_max_14,949.3569610118866
demand_rolling_std_28,938.0928077101707
demand_rolling_min_28,894.706135392189
demand_rolling_max_28,812.4285776615143
demand_rolling_min_14,732.4369645118713
product_id_encoded,682.6751711368561
demand_rolling_mean_28,420.0052137374878
is_weekend,193.40857028961182
week,63.57567000389099
store_id_encoded,50.37900006771088
month,43.78023016452789
is_month_end,17.168790102005005
year,0.0
quarter,0.0
is_month_start,0.0
is_quarter_start,0.0
is_quarter_end,0.0
